Id,Name,Tm,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SF,IBB,Name-additional
762,Chad Wallach,LAA,12,35,3,5,1,0,1,4,0,0,4,9,0,0,0,wallach01
763,Matt Wallner,MIN,18,57,4,13,3,0,2,10,1,0,6,25,2,0,1,wallnma01
764,Taylor Walls,TBR,142,407,53,70,18,2,8,33,10,3,52,120,2,2,0,wallsta01
765,Jared Walsh,LAA,118,423,41,91,18,2,15,44,2,1,27,138,4,0,4,walshja01
766,Donovan Walton,TOT,25,76,9,12,8,0,1,8,0,0,1,16,1,0,0,waltodo01
767,Taylor Ward,LAA,135,495,73,139,22,2,23,65,5,3,60,120,4,5,0,wardta01
768,Drew Waters,KCR,32,96,14,23,6,1,5,18,0,0,12,40,0,0,0,waterdr01
769,Luke Weaver,TOT,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,weavelu01
770,J.B. Wendelken,ARI,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,wendejb01
771,Joey Wendle,MIA,101,347,27,90,24,1,3,32,12,3,15,50,5,3,0,wendljo01
772,Eli White,TEX,47,105,16,21,2,0,3,10,12,1,11,41,0,1,0,whiteel04
773,Aaron Whitefield,LAA,5,11,0,0,0,0,0,0,0,0,0,5,0,0,0,whiteaa01
774,Luke Williams,TOT,79,127,21,30,5,1,1,6,11,4,9,44,0,0,1,willilu01
775,Trevor Williams,NYM,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,willitr01
776,Marcus Wilson,SEA,3,5,1,1,0,0,0,0,0,0,1,4,0,0,0,wilsoma02
777,Jesse Winker,SEA,136,456,51,100,15,0,14,53,0,0,84,103,4,3,1,winkeje01
778,Patrick Wisdom,CHC,134,469,67,97,28,0,25,66,8,4,53,183,9,2,1,wisdopa01
779,Bobby Witt,KCR,150,591,82,150,31,6,20,80,30,7,30,135,6,5,2,wittbo02
780,Tony Wolters,LAD,2,4,0,0,0,0,0,0,0,0,0,3,0,0,0,wolteto01
781,Connor Wong,BOS,27,48,8,9,3,0,1,7,0,0,5,16,1,1,0,wongco01
